UNIX_TIMESTAMP(ts)	x	y	z
1387626145	0.03125	0.21875	0.8125
1387626147	0.0625	0.15625	0.75
1387626151	0.0625	0.15625	0.8125
1387626153	0.09375	0.15625	0.8125
1387626156	0	0.1875	0.8125
1387626159	0.09375	0.15625	0.84375
1387626161	0.0625	0.15625	0.78125
1387626164	0.0625	0.1875	0.84375
1387626167	0.0625	0.1875	0.84375
1387626169	0.0625	0.1875	0.84375
1387626172	0.0625	0.1875	0.84375
1387626175	0.0625	0.1875	0.84375
1387626178	0.0625	0.1875	0.84375
1387626180	0.0625	0.1875	0.84375
1387626183	0.09375	0.1875	0.84375
1387626186	0.0625	0.1875	0.84375
1387626189	0.0625	0.1875	0.875
1387626192	0.0625	0.1875	0.84375
1387626194	0.0625	0.21875	0.84375
1387624664	0	0	0
1387624671	0	0	0
1387624693	0	0	0
1387624696	0	0	0
1387624699	0	0	0
1387624702	0	0	0
1387624704	0	0	0
1387719953	0	0	0
1387719956	0	0	0
1387719959	0	0	0
1387719963	0	0	0
1387719965	0	0	0
1387719968	0	0	0
1387719972	0	0	0
1387719974	0	0	0
